127.0.0.1, 2018-04-12 13:43:56, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.532000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000

127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-12 13:43:57, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-24 22:46:53, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.659000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-24 22:46:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/default/site, HTTP/1.1, 303, 0.359000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/default/index, HTTP/1.1, 200, 0.077000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 22:47:46, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-04-24 22:47:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:47:47, GET, /admin/default/index, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-24 22:47:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:47:48, GET, /admin/default/index, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-24 22:47:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:47:49, GET, /admin/default/index, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-24 22:47:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 22:47:53, POST, /admin/default/index, HTTP/1.1, 303, 0.016000
127.0.0.1, 2018-04-24 22:47:53, GET, /admin/default/site, HTTP/1.1, 200, 0.071000
